"","j_hidp","j_qfhigh_dv"
"1347",75840418,15
"1348",74310418,13
"1349",74337618,7
"1350",76064818,13
"1351",76092018,-8
"1352",74997218,15
"1353",75112818,3
"1354",76132818,13
"1355",74541618,-8
"1356",74548418,-8
"1357",74555218,96
"1358",74555218,96
"1359",74555218,3
"1360",74555218,7
"1361",74568818,96
"1362",74568818,96
"1363",74568818,10
"1364",74582418,-8
"1365",74582418,-8
"1366",74589218,4
"1367",74582418,6
"1368",74596018,-8
"1369",76173618,-8
"1370",76173618,96
"1371",76173618,2
"1372",76173618,4
"1373",74630018,-8
"1374",74630018,-8
"1375",74636818,-8
"1376",74636818,-8
"1377",74643618,-8
"1378",74650418,-8
"1379",74657218,-8
"1380",74664018,1
"1381",74670818,13
"1382",74670818,-8
"1383",74670818,7
"1384",74677618,3
"1385",74677618,96
"1386",74691218,96
"1387",74698018,-8
"1388",74684418,7
"1389",74711618,15
"1390",74711618,13
"1391",74711618,13
"1392",74718418,-8
"1393",74718418,96
"1394",74732018,-8
"1395",74738818,96
"1396",74738818,-8
"1397",74745618,-8
"1398",74745618,-8
"1399",74752418,-8
"1400",74752418,96
"1401",74759218,-8
"1402",74772818,-8
"1403",74772818,-8
"1404",74779618,-8
"1405",74779618,-8
"1406",74786418,-8
"1407",74786418,-8
"1408",74793218,-8
"1409",74800018,-8
"1410",74806818,96
"1411",74806818,5
"1412",74813618,3
"1413",74820418,-8
"1414",74827218,96
"1415",74827218,13
"1416",74834018,-8
"1417",74840818,2
"1418",74840818,10
"1419",74847618,-8
"1420",74861218,96
"1421",74861218,13
"1422",74881618,-8
"1423",74881618,-8
"1424",74888418,-8
"1425",74888418,-8
"1426",74902018,96
"1427",74895218,96
"1428",74908818,-8
"1429",74908818,13
"1430",74915618,1
"1431",74929218,-8
"1432",74936018,96
"1433",74956418,-8
"1434",74963218,-8
"1435",74963218,96
"1436",74963218,15
"1437",74976818,-8
"1438",74983618,-8
"1439",74983618,-8
"1440",74990418,-8
"1441",74997218,1
"1442",75004018,-8
"1443",75004018,-8
"1444",75017618,-8
"1445",75017618,-8
"1446",75031218,-8
"1447",75031218,-8
"1448",75038018,-8
"1449",75038018,-8
"1450",75044818,-8
"1451",75044818,96
"1452",75044818,96
"1453",75058418,-8
"1454",75065218,96
"1455",75065218,-8
"1456",75072018,11
"1457",75085618,-8
"1458",75085618,-8
"1459",75092418,-8
"1460",75099218,-8
"1461",75106018,96
"1462",75106018,-8
